group_id,group_name,gender,size,preferences,special_needs
G001,Tech Enthusiasts,male,4,Ground floor preferred,None
G002,Study Group Alpha,female,3,Quiet environment,WiFi required
G003,Mixed Sports Team,mixed,6,Large room,Sports equipment storage
G004,Art Club,female,2,Natural lighting,Art supplies storage
G005,Coding Bootcamp,male,5,24/7 access,Multiple power outlets
G006,Literature Society,mixed,4,Library access,Book storage
G007,Music Band,male,3,Soundproof room,Instrument storage
G008,Science Club,female,4,Lab access,Equipment storage
G009,Drama Club,mixed,5,Rehearsal space,Costume storage
G010,Photography Group,male,2,Dark room access,Equipment storage
G011,Debate Team,female,3,Meeting room,Presentation equipment
G012,Environmental Club,mixed,4,Garden access,Recycling facilities
G013,Chess Club,male,2,Quiet space,Chess boards
G014,Dance Troupe,female,6,Practice space,Mirror walls
G015,Robotics Team,mixed,5,Workshop access,Tool storage